crop,d_cover,d_roads,animal_id,use,roaddist,BinRoad,NewDate,Season,cropnew,std_cover,std_roads
5,60,30,647572A,1,51.99004245,0-200,11/5/2011 3:00,winter2012,3,-0.236733307,-1.104775143
2,120,90,647572A,1,82.64848269,0-200,11/5/2011 6:00,winter2012,1,0.241190973,-0.914260606
2,67.08203932,120,647572A,1,131.293273,0-200,11/5/2011 9:00,winter2012,1,-0.180321998,-0.819003338
2,402.4922359,134.1640786,647572A,1,134.4291942,0-200,11/5/2011 12:00,winter2012,1,2.491355948,-0.774028957
5,42.42640687,543.3231083,647572A,1,569.5602531,400-600,11/5/2011 15:00,winter2012,3,-0.376714088,0.52515009
4,0,540,647572A,1,531.392196,400-600,11/5/2011 18:00,winter2012,2,-0.714657587,0.514598416
1,30,560.4462508,647572A,1,567.3132421,400-600,11/5/2011 21:00,winter2012,1,-0.475695447,0.579520216
4,0,360,647572A,1,364.1290659,200-400,11/6/2011 0:01,winter2012,2,-0.714657587,-0.056945193
1,134.1640786,0,647572A,1,1.776196133,0-200,11/6/2011 3:00,winter2012,1,0.354013591,-1.200032411
1,161.5549442,189.7366596,647572A,1,199.5011798,200-400,11/6/2011 6:00,winter2012,1,0.57219292,-0.597572549
4,0,30,647572A,1,48.59312843,0-200,11/6/2011 9:00,winter2012,2,-0.714657587,-1.104775143
4,0,60,647572A,1,59.51938543,0-200,11/6/2011 12:01,winter2012,2,-0.714657587,-1.009517874
1,60,600,647572A,1,606.224156,600-800,11/6/2011 15:00,winter2012,1,-0.236733307,0.705112952
4,0,305.9411708,647572A,1,317.4534403,200-400,11/6/2011 18:00,winter2012,2,-0.714657587,-0.228595073
5,30,313.2091953,647572A,1,321.9357761,200-400,11/6/2011 21:00,winter2012,3,-0.475695447,-0.205517334
5,30,540.8326913,647572A,1,555.3024937,400-600,11/7/2011 0:00,winter2012,3,-0.475695447,0.517242413
5,30,0,647572A,1,1.775266906,0-200,11/7/2011 3:00,winter2012,3,-0.475695447,-1.200032411
2,108.1665383,30,647572A,1,32.49339767,0-200,11/7/2011 6:00,winter2012,1,0.146932662,-1.104775143
1,60,60,647572A,1,40.67456508,0-200,11/7/2011 9:00,winter2012,1,-0.236733307,-1.009517874
1,67.08203932,0,647572A,1,4.611675345,0-200,11/7/2011 12:00,winter2012,1,-0.180321998,-1.200032411
4,0,510,647572A,1,523.2333185,400-600,11/7/2011 15:00,winter2012,2,-0.714657587,0.419341148
4,0,480.9365863,647572A,1,499.3174535,400-600,11/7/2011 18:00,winter2012,2,-0.714657587,0.327057768
4,0,510,647572A,1,530.4481864,400-600,11/7/2011 21:00,winter2012,2,-0.714657587,0.419341148
4,0,305.9411708,647572A,1,333.3593151,200-400,11/8/2011 0:00,winter2012,2,-0.714657587,-0.228595073
5,30,0,647572A,1,17.21515151,0-200,11/8/2011 3:00,winter2012,3,-0.475695447,-1.200032411
5,30,300,647572A,1,293.1155789,200-400,11/8/2011 6:00,winter2012,3,-0.475695447,-0.247459729
3,42.42640687,30,647572A,1,7.280496016,0-200,11/8/2011 9:00,winter2012,1,-0.376714088,-1.104775143
4,0,30,647572A,1,28.61202586,0-200,11/8/2011 12:00,winter2012,2,-0.714657587,-1.104775143
2,42.42640687,192.0937271,647572A,1,195.6494293,200-400,11/8/2011 15:00,winter2012,1,-0.376714088,-0.590088288
4,0,421.0700654,647572A,1,434.2910443,400-600,11/8/2011 18:00,winter2012,2,-0.714657587,0.13696706
3,30,108.1665383,647572A,1,129.2834075,0-200,11/8/2011 21:00,winter2012,1,-0.475695447,-0.856577446
1,67.08203932,570,647572A,1,563.0194678,400-600,11/9/2011 0:00,winter2012,1,-0.180321998,0.609855684
2,403.6087214,228.4731932,647572A,1,245.1255669,200-400,11/9/2011 3:00,winter2012,1,2.500249207,-0.47457467
2,318.9043744,120,647572A,1,120.5225303,0-200,11/9/2011 6:00,winter2012,1,1.825544805,-0.819003338
4,0,30,647572A,1,52.96357464,0-200,11/9/2011 9:00,winter2012,2,-0.714657587,-1.104775143
4,0,295.4657341,647572A,1,309.9226539,200-400,11/9/2011 15:00,winter2012,2,-0.714657587,-0.261857122
4,0,364.9657518,647572A,1,377.036791,200-400,11/9/2011 18:00,winter2012,2,-0.714657587,-0.041177728
5,30,313.2091953,647572A,1,329.1986012,200-400,11/9/2011 21:00,winter2012,3,-0.475695447,-0.205517334
4,0,174.9285568,647572A,1,189.6372039,0-200,11/10/2011 0:00,winter2012,2,-0.714657587,-0.644591863
5,30,90,647572A,1,96.75519522,0-200,11/10/2011 3:00,winter2012,3,-0.475695447,-0.914260606
5,30,30,647572A,1,2.638238197,0-200,11/10/2011 6:00,winter2012,3,-0.475695447,-1.104775143
5,60,94.86832981,647572A,1,98.42989367,0-200,11/10/2011 9:00,winter2012,3,-0.236733307,-0.89880248
1,258.069758,300,647572A,1,308.4675189,200-400,11/10/2011 12:00,winter2012,1,1.340972468,-0.247459729
1,94.86832981,408.0441153,647572A,1,405.4535992,400-600,11/10/2011 15:00,winter2012,1,0.04100705,0.095606513
4,0,636.3961031,647572A,1,659.344211,600-800,11/10/2011 18:00,winter2012,2,-0.714657587,0.820679397
5,30,488.3646179,647572A,1,520.4017891,400-600,11/10/2011 21:00,winter2012,3,-0.475695447,0.350643568
1,180,742.7651042,647572A,1,739.0784968,600-800,11/11/2011 0:00,winter2012,1,0.719115253,1.158426746
1,150,721.2489168,647572A,1,739.5922255,600-800,11/11/2011 3:00,winter2012,1,0.480153113,1.090107638
4,0,510,647572A,1,530.411432,400-600,11/11/2011 6:00,winter2012,2,-0.714657587,0.419341148
1,30,570,647572A,1,586.9664847,600-800,11/11/2011 9:00,winter2012,1,-0.475695447,0.609855684
4,0,284.6049894,647572A,1,292.1943601,200-400,11/11/2011 12:00,winter2012,2,-0.714657587,-0.296342618
4,0,553.1726674,647572A,1,569.4089598,400-600,11/11/2011 15:00,winter2012,2,-0.714657587,0.556424826
4,0,606.7124525,647572A,1,620.2783488,600-800,11/11/2011 18:00,winter2012,2,-0.714657587,0.726426615
4,0,560.4462508,647572A,1,578.123654,600-800,11/11/2011 21:00,winter2012,2,-0.714657587,0.579520216
4,0,483.7354649,647572A,1,511.0976049,400-600,11/12/2011 0:00,winter2012,2,-0.714657587,0.335944886
5,30,270,647572A,1,263.7544766,200-400,11/12/2011 3:01,winter2012,3,-0.475695447,-0.342716997
